office_name,county_name,state_name,registered,voted,void,neutral,suffrage,ghazouani_votes,biram_votes,mewloud_votes,kane_votes,wavi_votes,boubacar_votes
Lycée technique,Boghé,Brakna,416,306,8,2,296,77,102,3,70,0,44
Ecole 1 Leareiguib,Nouadhibou,Dakhlet Nouadhibou,522,435,20,0,415,70,188,10,86,1,60
Protection Civile,Rosso,Trarza,377,270,6,1,263,57,155,0,24,0,27
Bureaux Sonader,Rosso,Trarza,517,203,4,9,190,73,48,3,10,1,55
Bureaux Sonader,Rosso,Trarza,513,218,0,4,214,46,96,8,21,0,43
Libheiré ,Ould Yengé,Guidimagha,308,214,4,0,210,118,51,0,10,0,31
Commune Ghabou,Ghabou,Guidimagha,493,286,11,1,274,157,83,4,20,1,9
Ecole Mourabitoune,Ksar,Nouakchott Ouest,483,234,9,5,220,69,81,7,37,0,26
Lemleyhess,Tintane,Hodh El Gharbi,438,382,3,0,379,373,0,1,0,1,4
Ecole 1,Aleg,Brakna,453,245,4,0,241,112,52,0,2,0,75
Délegation Régionale MDR,Kiffa,Assaba,462,239,7,1,231,96,88,11,14,0,22
Lycée technique,Boghé,Brakna,416,305,3,4,298,81,96,3,87,0,31
Commune Nbeika,Moudjeria,Tagant,486,242,0,0,242,146,27,4,0,0,65
El Berbareh,Aïoun,Hodh El Gharbi,357,204,2,2,200,96,11,1,0,0,92
Dispensaire Chami,Chami,Dakhlet Nouadhibou,559,171,4,1,166,82,25,1,0,1,57
Zehra,Tintane,Hodh El Gharbi,543,333,23,0,310,252,32,3,0,1,22
Ecole Cheikh Souleymane Ball,Sebkha,Nouakchott Ouest,544,358,10,7,341,74,121,7,115,0,24
Ecole 1 Nbeika,Moudjeria,Tagant,581,338,9,1,328,165,22,7,0,0,134
Ecole Demdeleck,Rosso,Trarza,473,399,13,4,382,32,258,2,81,0,9
Lycée de Néma,Néma,Hodh Chargui,558,274,5,1,268,173,13,3,4,4,71
Ecole 2,Amourj,Hodh Chargui,453,184,1,3,180,142,6,0,0,0,32
Ecole 1,F'Deirick,Tiris Zemmour,312,178,6,1,171,87,22,2,2,2,56
