,state_code,state,county,town,center,center_id,office_id,registered,voted,void,neutral,suffrage,candidate_votes,candidate
162,2,Hodh El Gharbi,Koubenni,Koubenni,Pont,8,1,374,176,1,1,174,80,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
163,2,Hodh El Gharbi,Koubenni,Koubenni,Pont,8,1,374,176,1,1,174,84,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
164,2,Hodh El Gharbi,Koubenni,Koubenni,Pont,8,1,374,176,1,1,174,4,Biram Dah Dah ABEID (Biram)
165,2,Hodh El Gharbi,Koubenni,Koubenni,Pont,8,1,374,176,1,1,174,1,Mohamed Sidi MAOULOUD (Maouloud)
166,2,Hodh El Gharbi,Koubenni,Koubenni,Pont,8,1,374,176,1,1,174,3,Mohamed Lemine El Mourteji El WAVI (Wavi)
167,2,Hodh El Gharbi,Koubenni,Koubenni,Pont,8,1,374,176,1,1,174,2,KANE Hamidou Baba (Kane)
168,1,Hodh Chargui,Bassiknou,Bassiknou,Ecole 1,1,3,413,234,11,0,223,180,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
169,1,Hodh Chargui,Bassiknou,Bassiknou,Ecole 1,1,3,413,234,11,0,223,15,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
170,1,Hodh Chargui,Bassiknou,Bassiknou,Ecole 1,1,3,413,234,11,0,223,26,Biram Dah Dah ABEID (Biram)
171,1,Hodh Chargui,Bassiknou,Bassiknou,Ecole 1,1,3,413,234,11,0,223,0,Mohamed Sidi MAOULOUD (Maouloud)
172,1,Hodh Chargui,Bassiknou,Bassiknou,Ecole 1,1,3,413,234,11,0,223,0,Mohamed Lemine El Mourteji El WAVI (Wavi)
173,1,Hodh Chargui,Bassiknou,Bassiknou,Ecole 1,1,3,413,234,11,0,223,2,KANE Hamidou Baba (Kane)
174,9,Tagant,Moudjeria,Tamourt Naaj,Ecole Voum El Kouz,20,1,422,210,7,5,198,78,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
175,9,Tagant,Moudjeria,Tamourt Naaj,Ecole Voum El Kouz,20,1,422,210,7,5,198,62,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
176,9,Tagant,Moudjeria,Tamourt Naaj,Ecole Voum El Kouz,20,1,422,210,7,5,198,52,Biram Dah Dah ABEID (Biram)
177,9,Tagant,Moudjeria,Tamourt Naaj,Ecole Voum El Kouz,20,1,422,210,7,5,198,3,Mohamed Sidi MAOULOUD (Maouloud)
178,9,Tagant,Moudjeria,Tamourt Naaj,Ecole Voum El Kouz,20,1,422,210,7,5,198,1,Mohamed Lemine El Mourteji El WAVI (Wavi)
