office_name,county_name,state_name,registered,voted,void,neutral,suffrage,ghazouani_votes,biram_votes,mewloud_votes,kane_votes,wavi_votes,boubacar_votes,gaz_perct,biram_perct,mewloud_perct,kane_perct,wavi_perct,boubacar_perct,turnout
Elevage,Bassiknou,Hodh Chargui,379,158,8,0,150,95,23,5,2,1,24,0.6333333333333333,0.15333333333333332,0.03333333333333333,0.013333333333333334,0.006666666666666667,0.16,41.69
Dioullom,Boghé,Brakna,339,234,2,5,227,73,9,3,140,1,1,0.32158590308370044,0.039647577092511016,0.013215859030837005,0.6167400881057269,0.004405286343612335,0.004405286343612335,69.03
Ecole Belghanar,Moudjeria,Tagant,372,253,6,0,247,164,3,1,0,1,78,0.6639676113360324,0.012145748987854251,0.004048582995951417,0.0,0.004048582995951417,0.3157894736842105,68.01
Ecole Taif,Kiffa,Assaba,277,143,3,0,140,111,19,1,3,0,6,0.7928571428571428,0.1357142857142857,0.007142857142857143,0.02142857142857143,0.0,0.04285714285714286,51.62
Dar Salama Aoulad Sidi,Boghé,Brakna,238,148,4,0,144,50,21,2,1,0,70,0.3472222222222222,0.14583333333333334,0.013888888888888888,0.006944444444444444,0.0,0.4861111111111111,62.18
El Argoub 2,Tidjikja,Tagant,383,233,2,1,230,94,33,40,2,1,60,0.40869565217391307,0.14347826086956522,0.17391304347826086,0.008695652173913044,0.004347826086956522,0.2608695652173913,60.84
Ecole 2 Rass El Imane,Nouadhibou,Dakhlet Nouadhibou,513,277,0,4,273,140,41,6,12,1,73,0.5128205128205128,0.15018315018315018,0.02197802197802198,0.04395604395604396,0.003663003663003663,0.2673992673992674,54.0
Aeroport 1,Kaédi,Gorgol,410,290,2,0,288,96,145,6,16,2,23,0.3333333333333333,0.5034722222222222,0.020833333333333332,0.05555555555555555,0.006944444444444444,0.0798611111111111,70.73
Tevradit,Boumdeid,Assaba,109,106,0,4,102,101,0,0,0,0,1,0.9901960784313726,0.0,0.0,0.0,0.0,0.00980392156862745,97.25
Ecole Ould Bouna,El Mina,Nouakchott Sud,354,306,4,3,299,38,137,2,30,1,91,0.12709030100334448,0.45819397993311034,0.006688963210702341,0.10033444816053512,0.0033444816053511705,0.30434782608695654,86.44
Tentregwej,Koubenni,Hodh El Gharbi,150,109,10,0,99,78,1,1,0,0,19,0.7878787878787878,0.010101010101010102,0.010101010101010102,0.0,0.0,0.1919191919191919,72.67
Hamdelaye,Boghé,Brakna,267,173,3,4,166,111,3,0,40,0,12,0.6686746987951807,0.018072289156626505,0.0,0.24096385542168675,0.0,0.07228915662650602,64.79
Selam Jam(disensaire,Dar Naïm,Nouakchott Nord,357,238,5,1,232,74,64,11,30,1,52,0.31896551724137934,0.27586206896551724,0.04741379310344827,0.12931034482758622,0.004310344827586207,0.22413793103448276,66.67
Mauriposte,Néma,Hodh Chargui,312,226,8,2,216,135,54,2,3,3,19,0.625,0.25,0.009259259259259259,0.013888888888888888,0.013888888888888888,0.08796296296296297,72.44
Ecole El Kouss,Aleg,Brakna,109,67,4,0,63,43,1,0,0,0,19,0.6825396825396826,0.015873015873015872,0.0,0.0,0.0,0.30158730158730157,61.47
Ecole Saad,R'Kiz,Trarza,340,188,2,1,185,124,13,2,0,0,46,0.6702702702702703,0.07027027027027027,0.010810810810810811,0.0,0.0,0.24864864864864866,55.29
Ecole Amagué Ehle El Moukhtar,Ghabou,Guidimagha,522,365,2,0,363,208,84,1,0,0,70,0.5730027548209367,0.23140495867768596,0.0027548209366391185,0.0,0.0,0.1928374655647383,69.92
Senhouri,Barkéol,Assaba,356,180,4,1,175,105,23,24,0,0,23,0.6,0.13142857142857142,0.13714285714285715,0.0,0.0,0.13142857142857142,50.56
Ecole 4,Sebkha,Nouakchott Ouest,526,411,4,6,401,36,218,6,130,3,8,0.08977556109725686,0.543640897755611,0.014962593516209476,0.32418952618453867,0.007481296758104738,0.0199501246882793,78.14
Dispensaire Koumba Ndaw,Ghabou,Guidimagha,386,215,14,4,197,85,95,3,8,0,6,0.43147208121827413,0.48223350253807107,0.015228426395939087,0.04060913705583756,0.0,0.030456852791878174,55.7
El Mareh ecole,Tamcheket,Hodh El Gharbi,339,280,5,0,275,255,9,2,1,0,8,0.9272727272727272,0.03272727272727273,0.007272727272727273,0.0036363636363636364,0.0,0.02909090909090909,82.6
Raga,Boumdeid,Assaba,338,278,1,2,275,253,15,0,0,0,7,0.92,0.05454545454545454,0.0,0.0,0.0,0.025454545454545455,82.25
Lycée de Néma,Néma,Hodh Chargui,560,320,7,0,313,200,13,1,4,13,82,0.6389776357827476,0.04153354632587859,0.003194888178913738,0.012779552715654952,0.04153354632587859,0.26198083067092653,57.14
